time_sec,x,y,theta,v,w
3.629,-3.9267555161562994e-12,-3.250945148545033e-26,1.6559140872200877e-14,-5.194159519639151e-12,2.1888027806361066e-14
3.64,-3.973502950479916e-12,-3.3288158533420564e-26,1.6756358009705648e-14,-4.249766756692475e-12,1.7928830682251896e-14
3.652,-4.0202503753506456e-12,-3.407608164318151e-26,1.6953439350888296e-14,-3.895618739227461e-12,1.6423445098553986e-14
3.66,-4.066997843858395e-12,-3.487322090021067e-26,1.7150621573694982e-14,-5.843433563468674e-12,2.4647777850835753e-14
3.67,-4.113745330973341e-12,-3.567958563233172e-26,1.7348119722850326e-14,-4.674748711494566e-12,1.9749814915534384e-14
3.6790000000000003,-4.160492791692622e-12,-3.649517182906701e-26,1.7545163642117383e-14,-5.194162302142383e-12,2.1893768807450815e-14
3.69,-4.207240264242836e-12,-3.7319976582851304e-26,1.7742508986529037e-14,-4.249770231837649e-12,1.794048585560492e-14
3.7,-4.253987773702511e-12,-3.8153996807022035e-26,1.7939401507127094e-14,-4.67475094596748e-12,1.9689252059805702e-14
3.71,-4.3007353119761295e-12,-3.8997226702626357e-26,1.8136504379887275e-14,-4.674753827361809e-12,1.9710287276018118e-14
3.7190000000000003,-4.347482839077383e-12,-3.984966305688069e-26,1.8333290157393335e-14,-5.194169677917057e-12,2.1865086389562244e-14
3.73,-4.394230375597643e-12,-4.071130187740485e-26,1.8530206174685332e-14,-4.249776047296354e-12,1.7901456117454246e-14
3.74,-4.440977963651387e-12,-4.1582154861344713e-26,1.872745866734533e-14,-4.67475880537444e-12,1.972524926599973e-14
3.75,-4.487725546061775e-12,-4.246223026774038e-26,1.8924773213639035e-14,-4.674758241038738e-12,1.9731454629370508e-14
3.759,-4.534473153152585e-12,-4.3351526083974015e-26,1.912191501603348e-14,-5.194178565645544e-12,2.1904644710493784e-14
3.769,-4.581220753670419e-12,-4.4250038435313645e-26,1.9319089073442565e-14,-4.674760051783422e-12,1.971740574090866e-14
3.778,-4.627968386716436e-12,-4.5157770176654096e-26,1.951632064438875e-14,-5.194181449557443e-12,2.1914618994020554e-14
3.79,-4.674715968349671e-12,-4.607471863056027e-26,1.9713450046220833e-14,-3.895631802769555e-12,1.6427450152673594e-14
3.8,-4.721463567766362e-12,-4.7000885498900647e-26,1.991069664353151e-14,-4.674759941669139e-12,1.9724659731067735e-14
